,Unnamed: 0,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
count,708.0,708.0,708.0,708.0,708.0,708.0,708.0,702.0,708.0,708.0,661.0,708.0,708.0,693.0,702.0,708.0,708.0,665.0,708.0,708.0,708.0,708.0,708.0,708.0,708.0,708.0,708.0
mean,353.5,26.14265536723164,42.882768361581924,19.847457627118644,19.265254237288133,3.0919491525423726,6.885028248587571,0.4373005698005698,0.884180790960452,2.5588983050847456,0.31504538577912256,2.207909604519774,4.328107344632769,0.49231601731601726,0.5002336182336182,1.3159604519774013,1.7368644067796608,0.7396285714285713,0.8216101694915254,2.7387005649717513,3.5573446327683613,1.8346045197740115,0.6097457627118644,0.37033898305084745,1.0334745762711866,1.724858757062147,8.384322033898304
std,204.52628192973145,4.14117760071507,26.28204300824857,25.858704454654465,9.02390548666716,2.116415302894833,4.396150640255357,0.10999713120219717,0.7888032086153446,2.0592681925714054,0.13964096081383157,1.7576809437899188,3.2282063682812927,0.11739607254934578,0.11814763659190765,1.24049406528813,1.5454124468278811,0.14350506506920357,0.7711188480403542,1.8703748629709573,2.4883353921683073,1.6424281664190328,0.42088805258747164,0.38738436453962694,0.7486873496892316,0.8123015356573369,5.828199987853074
min,0.0,19.0,1.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,176.75,23.0,19.0,0.0,12.2,1.5,3.5,0.4,0.3,0.9,0.28600000000000003,0.9,2.0,0.45,0.47,0.5,0.7,0.684,0.3,1.475,1.8,0.8,0.3,0.1,0.5,1.2,4.0
50%,353.5,26.0,44.0,6.0,19.1,2.6,6.0,0.434,0.8,2.2,0.335,1.7,3.4,0.5,0.508,1.0,1.3,0.763,0.6,2.3,3.0,1.3,0.5,0.3,0.9,1.7,7.0
75%,530.25,29.0,68.0,32.0,27.1,4.2,9.4,0.485,1.3,3.8,0.37200000000000005,3.1,5.925000000000001,0.5479999999999999,0.5517500000000001,1.8,2.3,0.825,1.1,3.6,4.625,2.4,0.8,0.5,1.4,2.3,11.5
max,707.0,42.0,82.0,82.0,36.9,10.8,24.5,1.0,5.1,13.2,1.0,9.3,16.5,1.0,1.5,9.7,11.0,1.0,5.4,11.1,15.6,10.7,2.4,2.7,5.0,4.0,36.1
